"score_z","time_original","time_transformed","event_index"
-0.742328522261146,0.97,0,1
-0.405179839473666,1.1,0.0083333333333333,2
0.781464717813189,1.57,0.0166666666666666,3
-1.76081628342576,2.03,0.0250712250712249,4
0.723213487612825,3.57,0.0334757834757833,5
0.0385103536533893,5.2,0.0418803418803416,6
1.00837978671137,6.4,0.0505120505120503,7
0.195042124510885,6.83,0.0591437591437589,8
1.11095925150618,8.2,0.0677754677754675,9
0.379657060734261,8.53,0.0765700388341896,10
-0.610656933586331,9.47,0.0854491730761685,11
0.868079141822239,12.67,0.0944153576538531,12
0.885508034424653,12.77,0.103751281801752,13
-0.343373215647644,12.83,0.11308720594965,14
0.724460363020854,13.83,0.122423130097548,15
-0.44813673646663,16.1,0.131859440526607,16
-0.554225864766314,16.2,0.141505446742978,17
0.767491947890781,17.6,0.151151452959349,18
0.00787494768389968,18,0.16079745917572,19
0.916459911286064,23.4,0.170443465392091,20
-0.736221870466753,30.8,0.181653688832738,21
-0.712797229220936,32.53,0.194243632081465,22
-0.0811658082079001,36,0.207672904880108,23
-0.528549597575662,40.97,0.221821603007249,24
0.269590398623439,48.23,0.237702794782611,25
-0.100479499429396,49,0.255852728240168,26
1.27557698606751,69.17,0.274002661697725,27
1.11982664116922,92.77,0.301925636247812,28
